DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(0.060m);Dir#1(0.060m);Speed#2(0.070m);Dir#2(0.070m);Speed#3(0.080m);Dir#3(0.080m);Speed#4(0.090m);Dir#4(0.090m);Speed#5(0.100m);Dir#5(0.100m);Speed#6(0.110m);Dir#6(0.110m);Speed#7(0.120m);Dir#7(0.120m);Speed#8(0.130m);Dir#8(0.130m);Speed#9(0.140m);Dir#9(0.140m);Speed#10(0.150m);Dir#10(0.150m);Speed#11(0.160m);Dir#11(0.160m);Speed#12(0.170m);Dir#12(0.170m);Speed#13(0.180m);Dir#13(0.180m);Speed#14(0.190m);Dir#14(0.190m);Speed#15(0.200m);Dir#15(0.200m);Speed#16(0.210m);Dir#16(0.210m);Speed#17(0.220m);Dir#17(0.220m);Speed#18(0.230m);Dir#18(0.230m);Speed#19(0.240m);Dir#19(0.240m);
3/7/2022 18:58:52; 13.2; 96.8;  0.5; -2.0;  0.618; 21.73;    0;    0;  1.162; 144.81;  0.245; 234.63;  0.100;  92.86;  0.024; 355.24;  0.141; 218.09;  0.027; 143.97;  0.053; 163.61;  0.051; 118.07;  0.074; 104.78;  0.097; 149.74;  0.042;  16.70;  0.043;  80.54;  0.054;  54.83;  0.028; 102.53;  0.016;   3.58;  0.095;  74.80;  0.051; 311.82;  0.116;  91.97;  0.030;  70.35;
3/7/2022 19:03:52; 13.2; 96.7;  0.5; -2.0;  0.626; 21.73;    0;    0;  0.106; 285.87;  0.152;  80.54;  0.106; 347.41;  0.029; 333.43;  0.052;   7.67;  0.592;  37.10;  0.054; 296.57;  0.346; 171.35;  0.400; 175.99;  0.104; 103.90;  0.503; 341.93;  0.088; 325.59;  0.952;  60.64;  0.111; 105.16;  0.064; 224.37;  0.117;  68.47;  0.237;  70.80;  0.001; 270.00;  0.131; 145.58;
3/7/2022 19:08:52; 13.2; 96.7;  0.5; -1.9;  0.635; 21.72;    0;    0;  0.283; 299.92;  0.149; 341.57;  0.057; 276.01;  0.088;  42.71;  0.192;  40.57;  0.117; 342.65;  0.024; 182.39;  0.061; 106.07;  0.132;  93.04;  0.139; 209.69;  0.017; 319.76;  0.761; 277.40;  0.049; 237.62;  0.166; 200.07;  0.201;  34.24;  0.031; 168.69;  0.119;   8.67;  0.054;  70.56;  0.187; 210.81;
3/7/2022 19:13:52; 13.2; 96.7;  0.5; -2.0;  0.635; 21.73;    0;    0;  0.368; 271.40;  0.314;  68.50;  0.184; 239.68;  0.036; 358.41;  0.203; 223.20;  0.645;  84.57;  0.015;  82.41;  0.087; 264.75;  0.056; 157.07;  0.055; 310.60;  0.038; 291.80;  0.050;  49.90;  0.438;  89.74;  0.097; 266.46;  0.044; 183.90;  0.061; 117.41;  0.017; 293.63;  0.093; 243.16;  0.341; 351.39;
3/7/2022 19:18:52; 13.2; 96.7;  0.5; -2.0;  0.640; 21.73;    0;    0;  0.135;  95.96;  0.060;  20.56;  0.061;  13.35;  0.052; 312.65;  0.041;  70.25;  0.031; 320.19;  0.047; 184.86;  0.095;  35.54;  0.218;  39.97;  0.045; 237.72;  0.058;  91.97;  0.449;  67.49;  0.045; 219.64;  0.294; 216.99;  0.102; 205.56;  0.356; 321.84;  0.597;  10.22;  0.157; 344.46;  0.665; 336.90;
3/7/2022 19:23:52; 13.2; 96.6;  0.5; -1.9;  0.636; 21.74;    0;    0;  0.040; 133.99;  0.308; 234.51;  0.425; 243.43;  0.178; 270.32;  0.093;  29.05;  0.100;  34.80;  0.285; 240.55;  0.050;  90.00;  0.353;  34.73;  0.111; 140.13;  0.015; 113.20;  0.102; 141.78;  0.051; 277.82;  0.212; 295.72;  0.120;  26.78;  0.376;  80.04;  0.062; 244.26;  0.107; 101.83;  0.137; 205.07;
3/7/2022 19:28:52; 13.2; 96.7;  0.4; -1.9;  0.635; 21.74;    0;    0;  0.076; 280.57;  0.082; 221.05;  0.055; 354.81;  0.050;  82.03;  0.075;  77.64;  0.015;  19.65;  0.028; 315.00;  0.190; 290.63;  0.166; 237.56;  0.035; 160.02;  0.031; 289.03;  0.013;  61.39;  0.073;  63.08;  0.150; 321.22;  0.573; 333.57;  0.145;   1.97;  0.036;  69.08;  0.355; 155.17;  0.388;  30.53;
3/7/2022 19:33:52; 13.2; 96.6;  0.5; -1.9;  0.636; 21.74;    0;    0;  0.182; 107.64;  0.346; 327.87;  0.172; 222.41;  0.126; 184.99;  0.351; 229.73;  0.125;  18.73;  0.121; 340.22;  0.226;  80.58;  0.312;  30.02;  0.417; 229.47;  0.005;  90.00;  0.122;  44.01;  0.132; 355.67;  0.230;   1.25;  0.131; 185.27;  0.291; 337.76;  0.687;  45.65;  0.404;  32.47;  0.523; 175.50;
3/7/2022 19:38:52; 13.2; 96.7;  0.5; -1.9;  0.615; 21.74;    0;    0;  0.124;  33.82;  0.169; 253.17;  0.165; 278.38;  0.086; 216.47;  0.119; 185.81;  0.081; 155.97;  0.045; 222.27;  0.158; 241.33;  0.317; 100.53;  0.275; 270.00;  0.115; 176.02;  0.169; 154.80;  0.066; 226.22;  0.312; 250.93;  0.137; 137.08;  0.030; 129.56;  0.154; 147.44;  0.108; 184.76;  0.240; 170.89;
3/7/2022 19:43:52; 13.2; 96.7;  0.5; -1.9;  0.636; 21.81;    0;    0;  0.126;  22.31;  0.136;  12.71;  0.101; 317.80;  0.063; 286.70;  0.162; 130.49;  0.341; 340.66;  0.302; 335.98;  0.063; 352.65;  0.104; 106.70;  0.094; 191.67;  0.026; 188.75;  0.071;  86.78;  0.036; 348.69;  0.017; 118.07;  0.069;  60.46;  0.025; 291.37;  0.207; 146.23;  0.082; 227.96;  0.043;  91.33;
3/7/2022 19:48:52; 13.2; 96.8;  0.4; -1.9;  0.635; 21.87;    0;    0;  0.544; 227.31;  0.555; 277.14;  0.231; 280.73;  0.046; 244.00;  0.066;  30.82;  0.012; 131.63;  0.106; 246.09;  0.259; 295.18;  0.096; 284.47;  0.039;  97.31;  0.098;  82.95;  0.109;  61.56;  0.065;  34.42;  0.045;  11.56;  0.008; 230.19;  0.033; 222.51;  0.274;  89.37;  0.039;  59.53;  0.096;  61.29;
3/7/2022 19:53:52; 13.2; 64.9;  0.5; -1.8;  0.635; 21.89;    0;    0;  0.279;  63.80;  0.802; 253.78;  0.069; 233.30;  0.186; 213.35;  0.129; 128.73;  0.015;  58.39;  0.079; 200.73;  0.044; 115.41;  0.112;  25.42;  0.172;  46.65;  0.055;  99.46;  0.079; 257.55;  0.383;  58.55;  0.460;  64.22;  0.075; 279.96;  0.191; 167.28;  0.095; 155.85;  0.470;  40.95;  0.277; 260.64;
3/7/2022 19:58:52; 13.2; 64.9;  0.5; -1.8;  0.633; 21.88;    0;    0;  0.906; 170.72;  0.660;   2.87;  0.676; 246.47;  0.325; 173.64;  0.733; 252.85;  0.439; 318.88;  0.077; 234.46;  0.163; 181.41;  0.046; 150.10;  0.246;  73.48;  0.143; 297.10;  0.095; 358.79;  0.162;  55.04;  0.137; 177.49;  0.054;  88.94;  0.038; 201.80;  0.119; 328.71;  0.075; 199.40;  0.675;  11.79;
3/7/2022 20:03:52; 13.2; 64.9;  0.5; -1.8;  0.636; 21.89;    0;    0;  0.866;  75.15;  0.157;  70.64;  0.011; 127.87;  0.010;  11.31;  0.029; 114.78;  0.088;  76.12;  0.079; 236.92;  0.027; 248.20;  0.061;  77.77;  0.054; 251.57;  0.041; 149.04;  0.144; 177.61;  0.124; 251.71;  0.003;   0.00;  0.024; 180.00;  0.019; 341.57;  0.033; 205.02;  0.081;  71.34;  0.112; 329.30;
3/7/2022 20:08:52; 13.2; 65.0;  0.5; -1.8;  0.637; 21.90;    0;    0;  0.264; 355.22;  0.188; 194.18;  0.080; 264.29;  0.109; 222.03;  0.053; 255.70;  0.157; 233.28;  0.015; 199.65;  0.057; 221.47;  0.049;  79.38;  0.050; 225.81;  0.039; 265.60;  0.016; 232.43;  0.065;  34.92;  0.218;  93.41;  0.082; 274.88;  0.125; 217.87;  0.107; 225.38;  0.270; 178.51;  0.366;   2.97;
3/7/2022 20:13:52; 13.2; 65.2;  0.5; -1.8;  0.629; 21.91;    0;    0;  0.239; 308.21;  0.062;  96.44;  0.049; 116.57;  0.064;  90.00;  0.161;  56.90;  0.139;  53.21;  0.141; 345.67;  0.436;   3.68;  0.034; 126.53;  0.075; 324.82;  0.008;  90.00;  0.145; 282.79;  0.034;  25.82;  0.064; 249.86;  0.114;  34.66;  0.068;  24.30;  0.080;  15.26;  0.185; 201.57;  0.781;  88.17;
